B 10
D 114 129
D 73 155
D 32 162
D 27 181
D 16 6
D 104 120
D 105 14
D 185 42
D 80 29
D 182 134
B 10
D 45 29
D 176 58
D 34 46
D 55 115
D 48 191
D 191 157
D 49 108
D 47 154
D 116 181
D 185 103
B 10
D 192 110
D 41 1
D 156 162
D 37 130
D 151 128
D 162 61
D 52 142
D 82 144
D 48 16
D 98 42
B 10
D 21 73
D 5 132
D 34 169
D 95 137
D 157 151
D 47 60
D 80 177
D 88 197
D 125 82
D 178 103
B 10
D 90 94
D 110 55
D 26 160
D 22 158
D 64 195
D 4 178
D 169 22
D 43 5
D 113 118
D 42 189
B 10
D 88 158
D 127 95
D 30 158
D 29 6
D 112 19
D 75 146
D 25 136
D 133 135
D 57 198
D 73 121
B 10
D 49 170
D 25 132
D 9 59
D 50 173
D 49 132
D 93 133
D 29 71
D 63 29
D 43 52
D 34 25
B 10
D 159 82
D 35 146
D 123 165
D 175 82
D 149 185
D 179 38
D 160 136
D 163 120
D 147 138
D 69 94
B 10
D 160 102
D 87 71
D 58 72
D 118 68
D 171 114
D 50 193
D 73 174
D 78 43
D 185 3
D 189 28
B 10
D 98 62
D 99 94
D 36 138
D 26 19
D 97 125
D 170 3
D 75 129
D 39 101
D 163 19
D 70 24
B 10
D 75 171
D 190 71
D 168 97
D 138 19
D 41 94
D 94 59
D 184 83
D 6 141
D 72 103
D 107 19
B 10
D 34 118
D 140 36
D 53 98
D 131 19
D 14 0
D 177 136
D 182 138
D 93 38
D 150 87
D 81 82
B 10
D 71 127
D 83 160
D 34 85
D 58 32
D 39 1
D 91 193
D 184 2
D 56 59
D 79 111
D 105 84
B 10
D 106 90
D 78 110
D 153 47
D 21 134
D 78 174
D 66 100
D 78 160
D 91 125
D 43 6
D 8 170
B 10
D 141 193
D 172 11
D 133 151
D 113 114
D 156 157
D 106 109
D 112 171
D 162 61
D 171 178
D 50 173
B 10
D 176 33
D 91 186
D 12 95
D 156 84
D 77 102
D 49 41
D 17 178
D 84 158
D 57 100
D 188 168
B 10
D 191 134
D 97 88
D 159 27
D 115 153
D 175 67
D 132 170
D 116 18
D 123 140
D 42 194
D 140 165
B 10
D 169 185
D 18 40
D 40 65
D 173 42
D 34 194
D 78 20
D 67 134
D 88 168
D 128 83
D 160 190
B 10
D 190 71
D 146 41
D 65 158
D 149 24
D 2 166
D 48 164
D 150 6
D 134 46
D 28 16
D 55 135
B 10
D 0 27
D 13 95
D 33 115
D 52 34
D 33 122
D 85 145
D 143 167
D 45 156
D 111 169
D 159 150
B 10
D 36 114
D 119 43
D 23 29
D 0 11
D 194 9
D 45 189
D 2 92
D 38 184
D 71 87
D 47 186
B 10
D 193 6
D 114 26
D 39 43
D 3 29
D 144 60
D 172 186
D 135 24
D 113 114
D 72 152
D 199 181
B 10
D 6 117
D 76 10
D 13 30
D 196 4
D 90 65
D 69 103
D 171 159
D 27 110
D 61 29
D 168 106
B 10
D 90 122
D 170 132
D 77 15
D 71 87
D 78 113
D 192 156
D 112 19
D 69 192
D 159 132
D 81 93
B 10
D 165 89
D 32 188
D 94 90
D 92 190
D 95 133
D 89 189
D 47 44
D 74 91
D 57 100
D 114 40
B 10
D 98 12
D 108 194
D 125 97
D 128 172
D 51 74
D 60 57
D 129 155
D 137 66
D 104 64
D 181 106
B 10
D 15 16
D 143 34
D 0 24
D 35 153
D 4 69
D 190 173
D 36 1
D 66 39
D 27 155
D 117 193
B 10
D 190 33
D 26 154
D 116 9
D 106 192
D 80 13
D 7 24
D 198 12
D 116 42
D 157 108
D 9 138
B 10
D 51 192
D 23 106
D 121 110
D 149 77
D 27 193
D 192 180
D 11 14
D 14 182
D 145 193
D 72 165
B 10
D 94 20
D 144 72
D 116 42
D 24 76
D 190 196
D 187 80
D 102 143
D 76 22
D 145 189
D 188 164
B 10
D 6 0
D 105 127
D 112 65
D 24 135
D 8 189
D 94 110
D 37 79
D 55 13
D 134 101
D 26 154
B 10
D 100 45
D 188 40
D 79 74
D 25 136
D 22 102
D 102 28
D 75 95
D 34 109
D 20 99
D 173 55
B 10
D 62 178
D 182 14
D 70 49
D 46 1
D 37 130
D 1 52
D 149 185
D 123 120
D 78 160
D 112 162
B 10
D 97 83
D 54 68
D 51 76
D 195 187
D 150 126
D 111 183
D 76 158
D 80 162
D 167 79
D 161 44
B 10
D 161 85
D 116 21
D 85 180
D 20 40
D 141 6
D 49 114
D 125 25
D 1 53
D 102 22
D 132 182
B 10
D 129 114
D 27 59
D 147 29
D 157 104
D 105 24
D 36 145
D 186 160
D 135 133
D 33 19
D 88 122
B 10
D 63 2
D 22 108
D 17 122
D 195 166
D 93 96
D 190 65
D 124 93
D 175 146
D 64 155
D 28 3
B 10
D 154 89
D 39 73
D 19 109
D 84 125
D 72 117
D 41 95
D 8 76
D 151 133
D 152 25
D 161 30
B 10
D 158 51
D 28 16
D 101 130
D 153 78
D 32 78
D 31 176
D 33 184
D 25 132
D 16 94
D 12 9
B 10
D 77 28
D 135 153
D 188 164
D 186 48
D 118 34
D 141 72
D 105 48
D 25 37
D 173 55
D 16 162
