B 20
D 32 92
I 138 189
I 82 116
D 33 171
D 63 2
D 38 186
D 132 123
D 40 180
D 44 100
D 56 175
D 145 99
D 44 73
D 141 165
D 135 73
I 46 111
D 119 184
I 190 158
D 135 109
D 23 29
D 172 9
B 20
I 160 59
D 85 89
I 69 125
D 190 106
I 179 91
I 103 146
D 35 39
D 50 98
D 43 52
I 161 59
D 33 134
I 199 174
I 36 49
D 64 29
D 25 48
I 150 127
I 103 79
I 90 105
I 9 50
D 128 133
B 20
I 196 85
I 61 181
D 7 111
D 130 196
D 107 19
D 179 159
I 112 85
I 103 75
D 166 71
D 65 85
I 106 22
D 62 154
I 122 163
I 186 83
D 162 41
D 53 78
I 98 81
D 6 31
D 184 118
I 135 43
B 20
I 195 102
I 130 56
I 91 123
I 38 40
I 189 39
D 21 82
D 156 102
D 140 103
D 104 21
I 166 156
D 89 102
I 127 133
I 128 92
D 153 36
D 116 9
I 65 145
D 145 85
I 165 118
D 115 80
D 197 63
B 20
I 129 72
I 103 199
I 162 186
D 15 149
D 33 193
I 39 185
I 69 97
I 79 11
I 102 128
I 19 152
D 85 82
D 117 62
D 182 157
I 61 26
D 110 127
I 160 40
D 117 189
I 27 5
D 97 16
I 130 194
