dataset,method,ablate,stream,threads,n,ms_mean,ms_std,evals_mean,region_max,tp_mean,verify_ok
amazon,batch,allseeds,amazon_b1000_p0.5,32,5,44.5114,12.0860,44701170,1804.0,23705.2,1
amazon,batch,full,amazon_b10000_p0.0,32,5,175.1471,24.7068,17979165,30218.0,58054.9,1
amazon,batch,full,amazon_b10000_p0.5,32,5,164.7566,17.3789,15457800,15577.0,61252.6,1
amazon,batch,full,amazon_b10000_p1.0,32,5,17.3952,3.4937,672324,10012.0,595073.1,1
amazon,batch,full,amazon_b1000_p0.0,32,5,50.3736,5.3555,57400110,3292.0,20032.2,1
amazon,batch,full,amazon_b1000_p0.25,32,5,42.9960,6.5042,52884300,2513.0,23627.4,1
amazon,batch,full,amazon_b1000_p0.5,1,5,40.6634,5.0255,44701170,1804.0,24883.0,1
amazon,batch,full,amazon_b1000_p0.5,128,5,48.5670,18.9436,44701170,1804.0,22398.8,1
amazon,batch,full,amazon_b1000_p0.5,16,5,44.8993,14.4534,44701170,1804.0,23693.8,1
amazon,batch,full,amazon_b1000_p0.5,2,5,52.9943,12.0375,44701170,1804.0,19490.5,1
amazon,batch,full,amazon_b1000_p0.5,256,5,49.9044,6.6027,44701170,1804.0,20307.1,1
amazon,batch,full,amazon_b1000_p0.5,32,5,39.4474,3.2928,44701170,1804.0,25500.7,1
amazon,batch,full,amazon_b1000_p0.5,4,5,44.6466,2.1567,44701170,1804.0,22438.9,1
amazon,batch,full,amazon_b1000_p0.5,64,5,43.9615,13.5746,44701170,1804.0,24059.1,1
amazon,batch,full,amazon_b1000_p0.5,8,5,47.7374,17.9732,44701170,1804.0,22689.3,1
amazon,batch,full,amazon_b1000_p0.75,32,5,27.2701,1.9679,30825474,968.0,36832.8,1
amazon,batch,full,amazon_b1000_p1.0,32,5,1.7740,0.0589,672324,1004.0,564142.4,1
amazon,batch,full,amazon_b100_p0.0,32,5,7.8523,0.3843,95118684,418.0,12759.9,1
amazon,batch,full,amazon_b100_p0.5,32,5,5.0772,0.1466,63904659,288.0,19708.5,1
amazon,batch,full,amazon_b100_p1.0,32,5,0.1544,0.0038,672324,104.0,644031.7,1
amazon,batch,full,amazon_b10_p0.0,32,5,0.7785,0.1511,102093246,92.0,13160.3,1
amazon,batch,full,amazon_b10_p0.5,32,5,0.4870,0.0227,66581694,84.0,20567.6,1
amazon,batch,full,amazon_b10_p1.0,32,5,0.0137,0.0038,672324,14.0,750723.4,1
amazon,batch,full,amazon_b1_p0.0,32,5,0.1211,0.0035,18168918,46.0,8259.9,1
