dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
amazon,batch,32,allseeds,amazon_b1000_p0.5,1000,200,0,0.469,7.207,36.0330,34.8710,65.6242,148.2579,27752.1,44701170,0,0,1804,349,1,0.417,932393,334863
amazon,batch,32,allseeds,amazon_b1000_p0.5,1000,200,1,0.343,7.538,37.6914,37.4068,58.6859,122.3161,26531.0,44701170,0,0,1804,362,1,0.474,932393,334863
amazon,batch,32,allseeds,amazon_b1000_p0.5,1000,200,2,0.368,6.888,34.4386,33.5185,57.3717,128.1869,29037.0,44701170,0,0,1804,366,1,0.342,932393,334863
amazon,batch,32,allseeds,amazon_b1000_p0.5,1000,200,3,0.364,7.704,38.5182,37.1035,60.2901,131.1505,25961.5,44701170,0,0,1804,372,1,0.476,932393,334863
amazon,batch,32,allseeds,amazon_b1000_p0.5,1000,200,4,0.348,8.037,40.1859,40.1386,71.2894,128.0439,24884.2,44701170,0,0,1804,372,1,0.447,932393,334863
dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
amazon,batch,32,allseeds,amazon_b1000_p0.5,1000,200,0,0.532,10.167,50.8366,41.9444,159.0256,163.9319,19670.7,44701170,0,0,1804,348,1,1.220,932393,334863
amazon,batch,32,allseeds,amazon_b1000_p0.5,1000,200,1,1.093,12.519,62.5939,37.7346,190.9802,353.3218,15975.9,44701170,0,0,1804,360,1,0.502,932393,334863
amazon,batch,32,allseeds,amazon_b1000_p0.5,1000,200,2,0.357,7.753,38.7646,37.7018,59.9889,128.3033,25796.5,44701170,0,0,1804,363,1,0.494,932393,334863
amazon,batch,32,allseeds,amazon_b1000_p0.5,1000,200,3,0.340,6.586,32.9274,32.1262,62.2440,123.8405,30369.5,44701170,0,0,1804,371,1,0.335,932393,334863
amazon,batch,32,allseeds,amazon_b1000_p0.5,1000,200,4,0.352,7.487,37.4344,36.2630,64.3940,130.5155,26713.2,44701170,0,0,1804,371,1,0.466,932393,334863
