dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
gnutella,batch,32,full,gnutella_b10_p1.0,10,20000,0,0.123,0.288,0.0141,0.0077,0.0189,23.7869,695244.2,601731,0,0,14,90,1,0.094,347880,62586
gnutella,batch,32,full,gnutella_b10_p1.0,10,20000,1,0.032,0.166,0.0077,0.0051,0.0101,32.0664,1204572.8,601731,0,0,14,90,1,0.090,347880,62586
gnutella,batch,32,full,gnutella_b10_p1.0,10,20000,2,0.026,0.200,0.0098,0.0052,0.0135,27.4926,998437.9,601731,0,0,14,91,1,0.060,347880,62586
gnutella,batch,32,full,gnutella_b10_p1.0,10,20000,3,0.024,0.171,0.0084,0.0056,0.0090,28.5733,1167350.7,601731,0,0,14,91,1,0.094,347880,62586
gnutella,batch,32,full,gnutella_b10_p1.0,10,20000,4,0.024,0.161,0.0079,0.0057,0.0094,15.5135,1244406.4,601731,0,0,14,91,1,0.106,347880,62586
gnutella,batch,32,full,gnutella_b10_p0.5,10,20000,0,0.086,0.159,0.0079,0.0047,0.0127,23.5414,1254982.6,311916,0,0,11,74,1,0.037,185331,62586
gnutella,batch,32,full,gnutella_b10_p0.5,10,20000,1,0.056,0.130,0.0064,0.0046,0.0105,15.5948,1543171.6,311916,0,0,11,75,1,0.041,185331,62586
gnutella,batch,32,full,gnutella_b10_p0.5,10,20000,2,0.036,0.152,0.0075,0.0049,0.0111,27.4656,1316225.6,311916,0,0,11,75,1,0.041,185331,62586
gnutella,batch,32,full,gnutella_b10_p0.5,10,20000,3,0.029,0.165,0.0081,0.0048,0.0109,25.5550,1215775.6,311916,0,0,11,75,1,0.025,185331,62586
gnutella,batch,32,full,gnutella_b10_p0.5,10,20000,4,0.025,0.182,0.0090,0.0050,0.0148,22.0283,1099107.2,311916,0,0,11,77,1,0.025,185331,62586
gnutella,batch,32,full,gnutella_b10_p0.0,10,20000,0,0.073,0.063,0.0031,0.0023,0.0069,8.0355,3184143.3,15003,0,0,12,52,1,0.012,58083,62586
gnutella,batch,32,full,gnutella_b10_p0.0,10,20000,1,0.055,0.086,0.0043,0.0022,0.0074,29.5499,2317377.7,15003,0,0,12,53,1,0.011,58083,62586
gnutella,batch,32,full,gnutella_b10_p0.0,10,20000,2,0.123,0.212,0.0105,0.0047,0.0267,36.5145,944532.7,15003,0,0,12,53,1,0.018,58083,62586
gnutella,batch,32,full,gnutella_b10_p0.0,10,20000,3,0.099,0.252,0.0125,0.0055,0.0188,39.6660,794009.8,15003,0,0,12,53,1,0.040,58083,62586
gnutella,batch,32,full,gnutella_b10_p0.0,10,20000,4,0.038,0.109,0.0054,0.0025,0.0083,33.4923,1836632.8,15003,0,0,12,53,1,0.011,58083,62586
gnutella,batch,32,full,gnutella_b100_p1.0,100,2000,0,0.067,0.251,0.1230,0.0776,0.1308,47.5244,797853.6,601731,0,0,106,90,1,0.117,347880,62586
gnutella,batch,32,full,gnutella_b100_p1.0,100,2000,1,0.070,0.196,0.0964,0.0582,0.1238,19.8250,1018171.2,601731,0,0,106,90,1,0.062,347880,62586
gnutella,batch,32,full,gnutella_b100_p1.0,100,2000,2,0.028,0.149,0.0735,0.0501,0.1058,19.5927,1339616.3,601731,0,0,106,90,1,0.102,347880,62586
gnutella,batch,32,full,gnutella_b100_p1.0,100,2000,3,0.027,0.197,0.0971,0.0587,0.1796,23.5325,1016336.9,601731,0,0,106,90,1,0.069,347880,62586
gnutella,batch,32,full,gnutella_b100_p1.0,100,2000,4,0.028,0.186,0.0920,0.0632,0.1207,29.5127,1073378.2,601731,0,0,106,90,1,0.082,347880,62586
gnutella,batch,32,full,gnutella_b100_p0.5,100,2000,0,0.059,0.191,0.0946,0.0512,0.1070,25.7641,1048847.7,311916,0,0,69,74,1,0.036,185331,62586
