dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
amazon,batch,32,nomerge,amazon_b1000_p0.5,1000,200,0,0.359,9.456,47.2802,44.7340,90.8338,154.8179,21150.5,66832428,0,0,56,347,1,0.307,932393,334863
amazon,batch,32,nomerge,amazon_b1000_p0.5,1000,200,1,0.367,9.499,47.4944,46.1471,97.4848,150.5144,21055.1,66832428,0,0,56,361,1,0.299,932393,334863
amazon,batch,32,nomerge,amazon_b1000_p0.5,1000,200,2,0.369,15.205,76.0257,71.9776,157.2403,181.5311,13153.4,66832428,0,0,56,364,1,0.294,932393,334863
amazon,batch,32,nomerge,amazon_b1000_p0.5,1000,200,3,0.354,9.196,45.9818,43.9062,91.6134,142.0774,21747.7,66832428,0,0,56,373,1,0.277,932393,334863
amazon,batch,32,nomerge,amazon_b1000_p0.5,1000,200,4,0.358,9.203,46.0126,44.0412,91.8198,147.1036,21733.2,66832428,0,0,56,373,1,0.298,932393,334863
dataset,method,threads,ablate,stream,batch_size,nbatches,run,build_s,total_maint_s,lat_mean_ms,lat_p50_ms,lat_p99_ms,lat_max_ms,throughput_eps,evals,seeds,rounds,region_max,rss_mb,verify_ok,verify_s,final_m,final_n
amazon,batch,32,nomerge,amazon_b1000_p0.5,1000,200,0,0.462,9.330,46.6484,44.6402,95.4743,157.4846,21436.9,66832428,0,0,56,345,1,0.372,932393,334863
amazon,batch,32,nomerge,amazon_b1000_p0.5,1000,200,1,0.342,9.264,46.3205,44.1744,88.8337,135.2669,21588.7,66832428,0,0,56,362,1,0.302,932393,334863
amazon,batch,32,nomerge,amazon_b1000_p0.5,1000,200,2,0.350,9.240,46.2004,43.6986,90.7219,144.5640,21644.8,66832428,0,0,56,362,1,0.309,932393,334863
amazon,batch,32,nomerge,amazon_b1000_p0.5,1000,200,3,0.348,9.218,46.0900,43.9141,90.5822,139.0635,21696.6,66832428,0,0,56,373,1,0.309,932393,334863
amazon,batch,32,nomerge,amazon_b1000_p0.5,1000,200,4,0.361,9.432,47.1610,44.9752,93.1464,140.8517,21204.0,66832428,0,0,56,373,1,0.304,932393,334863
